"","variable","experiment","pvalue","significance","barlettp","bartlett","Welchp","WelchSig","shapirop","shapiro","kruskalp","kruskalSig"
"1","Final_fraction_dead","exp_A_fateD_varShieldStrategy","0.558443748979115"," ","0.93145874315596","1","0.555787264456195"," ","1.73326617954787e-28","0","0.482638431991472"," "
"2","Final_fraction_dead","exp_A_fateR_varShieldStrategy","0.60923930374988"," ","0.719397372703964","1","0.603588557006663"," ","1.47135413032025e-33","0","0.509356016472012"," "
"3","Final_fraction_dead","exp_B1_10conts_varLimit","2.60309505362773e-107","***","1.03708847262158e-198","0","6.11832935585078e-73","***","2.85136353991778e-34","0","3.35841169964628e-32","***"
"4","Final_fraction_dead","exp_B1_2conts_varLimit","2.35476764777149e-111","***","6.37464180162308e-183","0","1.2528554205403e-75","***","1.32135639877878e-32","0","1.63722597656443e-37","***"
"5","Final_fraction_dead","exp_B1_null_varLimit","9.47707020236535e-72","***","1.5042474192057e-133","0","6.57610438679416e-53","***","1.1436242050899e-33","0","1.59778527984037e-26","***"
"6","Final_fraction_dead","exp_B2_Limit10_varShieldStrategy","0.639354290244318"," ","0.91012401241351","1","0.638480163441028"," ","8.66006168279436e-32","0","0.632642157234121"," "
"7","Final_fraction_dead","exp_B2_Limit100_varShieldStrategy","0.00389339975920634","**","0.000272880413060138","0","0.00649361956084586","**","2.3894949466147e-38","0","0.0220772312065276","*"
"8","Final_fraction_dead","exp_B2_Limit2000_varShieldStrategy","0.0025515197721906","**","0.00023847528020795","0","0.00370797427893623","**","8.91468814374387e-32","0","0.0163338404643148","*"
"9","Final_fraction_dead","exp_B2_Limit25_varShieldStrategy","0.713747655945816"," ","0.795444883530614","1","0.710291761470254"," ","6.00853779171954e-34","0","0.658833645875509"," "
"10","Final_fraction_dead","exp_B2_Limit250_varShieldStrategy","0.00244033982207328","**","0.000182043230304834","0","0.00358708451581965","**","8.04965474465444e-32","0","0.0163183818027237","*"
"11","Final_fraction_dead","exp_B2_Limit50_varShieldStrategy","0.206413528562731"," ","0.282124947115404","1","0.212927412373068"," ","4.92165417674563e-37","0","0.295285503081053"," "
"12","Final_fraction_dead","exp_B2_Limit500_varShieldStrategy","0.0025515197721906","**","0.00023847528020795","0","0.00370797427893623","**","8.91468814374387e-32","0","0.0163338404643148","*"
"13","Final_fraction_dead","exp_C_varPercentShielded","0.999837055666242"," ","0.999213311613955","1","0.999836341395002"," ","1.18943174693612e-35","0","0.998841041736419"," "
"14","Final_fraction_recovered","exp_A_fateD_varShieldStrategy","0.0216319750941765","*","0.443537657032219","1","0.0244533804060724","*","1.39255394295574e-26","0","0.0148705774475214","*"
"15","Final_fraction_recovered","exp_A_fateR_varShieldStrategy","0.000172877075928842","***","0.0180542688954092","0","0.000311274026333639","***","5.79905425012203e-33","0","5.05487751745131e-05","***"
"16","Final_fraction_recovered","exp_B1_10conts_varLimit","6.66422282687725e-90","***","4.807564503248e-128","0","5.41982686749375e-64","***","7.06449804759984e-32","0","4.57737816447008e-37","***"
"17","Final_fraction_recovered","exp_B1_2conts_varLimit","3.44554379439815e-91","***","5.56344409459417e-117","0","7.66387648438456e-66","***","3.31680957749991e-32","0","1.05003806225802e-43","***"
"18","Final_fraction_recovered","exp_B1_null_varLimit","1.8334734246496e-72","***","7.01871553017145e-106","0","1.37904265696525e-54","***","1.90408817590834e-35","0","1.52092060002719e-33","***"
"19","Final_fraction_recovered","exp_B2_Limit10_varShieldStrategy","0.531057438059151"," ","0.844106610275939","1","0.529873064177506"," ","1.07579452768386e-45","0","0.319087608975859"," "
"20","Final_fraction_recovered","exp_B2_Limit100_varShieldStrategy","0.381803134778135"," ","0.0208069667318053","0","0.372774715132337"," ","9.1722921761444e-31","0","0.518083950797022"," "
"21","Final_fraction_recovered","exp_B2_Limit2000_varShieldStrategy","0.42850540674142"," ","0.250702031097153","1","0.412766294780002"," ","4.27865470750525e-29","0","0.457527852507126"," "
"22","Final_fraction_recovered","exp_B2_Limit25_varShieldStrategy","0.707948773206552"," ","0.841133693032865","1","0.705073797078243"," ","5.69448659820742e-43","0","0.445699540268011"," "
"23","Final_fraction_recovered","exp_B2_Limit250_varShieldStrategy","0.427507467156391"," ","0.236668874929732","1","0.411423686954609"," ","4.81716356187174e-29","0","0.457691018774576"," "
"24","Final_fraction_recovered","exp_B2_Limit50_varShieldStrategy","0.570896441309573"," ","0.553808078910169","1","0.562197610136692"," ","1.70256803499308e-38","0","0.53396240127463"," "
"25","Final_fraction_recovered","exp_B2_Limit500_varShieldStrategy","0.42850540674142"," ","0.250702031097153","1","0.412766294780002"," ","4.27865470750525e-29","0","0.457527852507126"," "
"26","Final_fraction_recovered","exp_C_varPercentShielded","0.99966288198797"," ","0.999701656850279","1","0.999664914586558"," ","1.10989059964606e-33","0","0.997141964726395"," "
"27","Time_to_peak_infections_age3_comorbid","exp_A_fateD_varShieldStrategy","5.08204908722229e-149","***","2.6170530957914e-48","0","2.02508423296057e-167","***","1.30104644260816e-27","0","5.63552225743652e-155","***"
"28","Time_to_peak_infections_age3_comorbid","exp_A_fateR_varShieldStrategy","5.08204908722229e-149","***","2.6170530957914e-48","0","2.02508423296057e-167","***","1.30104644260816e-27","0","5.63552225743652e-155","***"
"29","Time_to_peak_infections_age3_comorbid","exp_B1_10conts_varLimit","0.0429274610673888","*","0.996293889638706","1","0.0439065209135119","*","1.33282970922389e-29","0","0.00180195409163325","**"
"30","Time_to_peak_infections_age3_comorbid","exp_B1_2conts_varLimit","2.0911072789275e-19","***","0.213659907104962","1","4.71975259616584e-20","***","4.69967904296164e-26","0","3.73904735979235e-22","***"
"31","Time_to_peak_infections_age3_comorbid","exp_B1_null_varLimit","0.156998979921401"," ","0.996934339449122","1","0.151901611471536"," ","3.57192559426059e-38","0","0.039621320886119","*"
"32","Time_to_peak_infections_age3_comorbid","exp_B2_Limit10_varShieldStrategy","0.000185419589840355","***","0.32071301373122","1","0.000241219461308902","***","5.36161909056709e-27","0","4.45884471031146e-08","***"
"33","Time_to_peak_infections_age3_comorbid","exp_B2_Limit100_varShieldStrategy","3.31806443793663e-13","***","0.117259478096338","1","1.73048259034074e-12","***","1.33219264847705e-17","0","1.91355723861233e-16","***"
"34","Time_to_peak_infections_age3_comorbid","exp_B2_Limit2000_varShieldStrategy","2.59985094982743e-17","***","0.194149445887897","1","2.1220955451918e-16","***","3.46468714800768e-16","0","6.6405447256886e-22","***"
"35","Time_to_peak_infections_age3_comorbid","exp_B2_Limit25_varShieldStrategy","0.000800360856173306","***","0.291643772632106","1","0.00101755663462947","**","6.13810084922169e-22","0","1.27851751066909e-05","***"
"36","Time_to_peak_infections_age3_comorbid","exp_B2_Limit250_varShieldStrategy","2.6432341903091e-17","***","0.194469095682329","1","2.15387607353342e-16","***","3.48302560833943e-16","0","6.72755343085187e-22","***"
"37","Time_to_peak_infections_age3_comorbid","exp_B2_Limit50_varShieldStrategy","1.50442034780625e-05","***","0.41467520369959","1","2.24948760121586e-05","***","6.89400933233429e-20","0","3.30336913794789e-07","***"
"38","Time_to_peak_infections_age3_comorbid","exp_B2_Limit500_varShieldStrategy","2.59985094982743e-17","***","0.194149445887897","1","2.1220955451918e-16","***","3.46468714800768e-16","0","6.6405447256886e-22","***"
"39","Time_to_peak_infections_age3_comorbid","exp_C_varPercentShielded","2.56305401238975e-85","***","8.50111175632929e-39","0","1.51245500556421e-61","***","1.32844888664374e-37","0","1.1355063327612e-79","***"
"40","Time_to_steady_state","exp_A_fateD_varShieldStrategy","1.73248624108785e-34","***","2.123222568249e-16","0","1.20213899202468e-40","***","4.03917316119141e-28","0","2.11798031329004e-38","***"
"41","Time_to_steady_state","exp_A_fateR_varShieldStrategy","1.73248624108785e-34","***","2.123222568249e-16","0","1.20213899202468e-40","***","4.03917316119141e-28","0","2.11798031329004e-38","***"
"42","Time_to_steady_state","exp_B1_10conts_varLimit","2.56741408388461e-35","***","0.0147548049594233","0","9.71307209566995e-38","***","3.83644459183955e-33","0","5.88993479591946e-34","***"
"43","Time_to_steady_state","exp_B1_2conts_varLimit","6.32688272481058e-59","***","0.00636144188669755","0","3.63605830535529e-61","***","4.7575624256881e-37","0","3.3743210878732e-51","***"
"44","Time_to_steady_state","exp_B1_null_varLimit","5.08619944507013e-26","***","0.000979762249515127","0","4.92948488934493e-29","***","1.45565089369328e-34","0","1.50739521067e-24","***"
"45","Time_to_steady_state","exp_B2_Limit10_varShieldStrategy","0.208861100408275"," ","0.550497538253023","1","0.213046523939132"," ","2.23363323261932e-23","0","0.0518245153031812","."
"46","Time_to_steady_state","exp_B2_Limit100_varShieldStrategy","0.000643038512914448","***","0.377350655259386","1","0.000708282195727883","***","6.16603316923144e-33","0","0.00374769166935008","**"
"47","Time_to_steady_state","exp_B2_Limit2000_varShieldStrategy","5.07038265222317e-05","***","0.240034639563544","1","5.86435402408362e-05","***","1.43128754802786e-33","0","0.000211814616351773","***"
"48","Time_to_steady_state","exp_B2_Limit25_varShieldStrategy","0.292980096366884"," ","0.638899709032955","1","0.296528874045285"," ","7.91947241143077e-27","0","0.348302549835727"," "
"49","Time_to_steady_state","exp_B2_Limit250_varShieldStrategy","5.00214767749731e-05","***","0.237632400646756","1","5.79249033022105e-05","***","1.43658131206216e-33","0","0.000211127737184958","***"
"50","Time_to_steady_state","exp_B2_Limit50_varShieldStrategy","0.493051039246012"," ","0.231542063341501","1","0.497340664822281"," ","2.38079393471593e-30","0","0.776892641025711"," "
"51","Time_to_steady_state","exp_B2_Limit500_varShieldStrategy","5.07038265222317e-05","***","0.240034639563544","1","5.86435402408362e-05","***","1.43128754802786e-33","0","0.000211814616351773","***"
"52","Time_to_steady_state","exp_C_varPercentShielded","1.03481225167931e-88","***","1.21818611642824e-23","0","9.24949750152594e-66","***","4.123795300479e-34","0","1.64218143392062e-79","***"
