"","intervention","T","E","S"
"1","none",0.0152163575844032,NA,NA
"2","evac",0.0192759755524213,NA,NA
"3","self 20%",0.0264339152119701,NA,NA
"4","50 tents",0.0687418936446174,NA,NA
"5","self 50%",0.0862282878411911,NA,NA
"6","self 20% + 50 tents",0.140934844192635,NA,NA
"7","self 20% + 50 tents + evac",0.199698568198945,NA,NA
"8","self 50% + 50 tents ",0.412021857923497,NA,NA
"9","self 50% + 50 tents + evac",0.474226804123711,NA,NA
"10","safety",0.0119815668202765,0.0119815668202765,0.0188679245283019
"11","safety + evac",0.0172333488588728,0.0172333488588728,0.0253431890179514
"12","safety + lock 50%",0.0138057984353428,0.0138057984353428,0.0275103163686382
"13","safety + self 20%",0.0216855593888615,0.0216855593888615,0.0353982300884956
"14","safety + 50 tents",0.0593434343434343,0.0593434343434343,0.0278195488721805
"15","safety + self 50%",0.0696241528034504,0.0696241528034504,0.260083449235049
"16","safety + 50 tents + lock 50%",0.0624219725343321,0.0624219725343321,0.0568070519098923
"17","safety + 50 tents + evac",0.107373868046572,0.107373868046572,0.0353413654618474
"18","safety + 50 tents + self 20%",0.138313609467456,0.137675795706884,0.0859977949283352
"19","safety + 50 tents + self 50%",0.327510917030568,0.327510917030568,0.802816901408451
"20","safety + 50 tents + evac + lock 50% + self 20%",0.155523255813953,0.154909090909091,0.181818181818182
"21","safety + 50 tents + evac + lock 50% + self 50%",0.394911504424779,0.395348837209302,0.954545454545455
"22","safety + 50 tents + evac + lock 90% + self 50%",0.422099447513812,0.423204419889503,0.933333333333333
